Squad,Player Name,Role
Birmingham Phoenix,Aneurin Donald,BAT
Birmingham Phoenix,Jacob Bethell,BAT
Birmingham Phoenix,Will Smeed,BAT
Birmingham Phoenix,Benny Howell,ALL-R
Birmingham Phoenix,Dan Mousley,ALL-R
Birmingham Phoenix,Liam Livingstone,ALL-R
Birmingham Phoenix,Ben Duckett,WK
Birmingham Phoenix,Joe Clarke,WK
Birmingham Phoenix,Adam Milne,BOWL
Birmingham Phoenix,Chris Wood,BOWL
Birmingham Phoenix,Harry Moore,BOWL
Birmingham Phoenix,Tim Southee,BOWL
Birmingham Phoenix,Tom Helm,BOWL
Birmingham Phoenix,Trent Boult,BOWL
London Spirit,Ashton Turner,BAT
London Spirit,David Warner,BAT
London Spirit,Kane Williamson,BAT
London Spirit,Keaton Jennings,BAT
London Spirit,Ollie Pope,BAT
London Spirit,Wayne Madsen,BAT
London Spirit,Jamie Overton,ALL-R
London Spirit,Liam Dawson,ALL-R
London Spirit,Jamie Smith,WK
London Spirit,Daniel Worrall,BOWL
London Spirit,Jafer Chohan,BOWL
London Spirit,Luke Wood,BOWL
London Spirit,Olly Stone,BOWL
London Spirit,Richard Gleeson,BOWL
Manchester Originals,Ben McKinney,BAT
Manchester Originals,Lewis Gregory,ALL-R
Manchester Originals,Rachin Ravindra,ALL-R
Manchester Originals,Tom Aspinwall,ALL-R
Manchester Originals,Heinrich Klaasen,WK
Manchester Originals,Jos Buttler,WK
Manchester Originals,Matthew Hurst,WK
Manchester Originals,Phil Salt,WK
Manchester Originals,George Garton,BOWL
Manchester Originals,Josh Tongue,BOWL
Manchester Originals,Noor Ahmad,BOWL
Manchester Originals,Scott Currie,BOWL
Manchester Originals,Sonny Baker,BOWL
Manchester Originals,Tom Hartley,BOWL
Northern Superchargers,David Miller,BAT
Northern Superchargers,Dawid Malan,BAT
Northern Superchargers,Graham Clark,BAT
Northern Superchargers,Harry Brook,BAT
Northern Superchargers,Zak Crawley,BAT
Northern Superchargers,Dan Lawrence,ALL-R
Northern Superchargers,Mitchell Santner,ALL-R
Northern Superchargers,Thomas Lawes,ALL-R
Northern Superchargers,Michael Pepper,WK
Northern Superchargers,Adil Rashid,BOWL
Northern Superchargers,Ben Dwarshuis,BOWL
Northern Superchargers,Brydon Carse,BOWL
Northern Superchargers,Matthew Potts,BOWL
Northern Superchargers,Pat Brown,BOWL
Oval Invincibles,Miles Hammond,BAT
Oval Invincibles,Sam Billings,BAT
Oval Invincibles,Tawanda Muyeye,BAT
Oval Invincibles,Jordan Clark,ALL-R
Oval Invincibles,Sam Curran,ALL-R
Oval Invincibles,Tom Curran,ALL-R
Oval Invincibles,Will Jacks,ALL-R
Oval Invincibles,Donovan Ferreira,WK
Oval Invincibles,Jordan Cox,WK
Oval Invincibles,Gus Atkinson,BOWL
Oval Invincibles,Jason Behrendorff,BOWL
Oval Invincibles,Nathan Sowter,BOWL
Oval Invincibles,Rashid Khan,BOWL
Oval Invincibles,Saqib Mahmood,BOWL
Southern Brave,Faf du Plessis,BAT
Southern Brave,James Vince,BAT
Southern Brave,Laurie Evans,BAT
Southern Brave,Leus du Plooy,BAT
Southern Brave,Craig Overton,ALL-R
Southern Brave,James Coles,ALL-R
Southern Brave,Jordan Thompson,ALL-R
Southern Brave,Michael Bracewell,ALL-R
Southern Brave,Finn Allen,WK
Southern Brave,Chris Jordan,BOWL
Southern Brave,Danny Briggs,BOWL
Southern Brave,Jofra Archer,BOWL
Southern Brave,Reece Topley,BOWL
Southern Brave,Tymal Mills,BOWL
Trent Rockets,Adam Hose,BAT
Trent Rockets,Joe Root,BAT
Trent Rockets,Max Holden,BAT
Trent Rockets,Sam Hain,BAT
Trent Rockets,Tom Banton,BAT
Trent Rockets,David Willey,ALL-R
Trent Rockets,George Linde,ALL-R
Trent Rockets,Marcus Stoinis,ALL-R
Trent Rockets,Tom Alsop,WK
Trent Rockets,Calvin Harrison,BOWL
Trent Rockets,John Turner,BOWL
Trent Rockets,Lockie Ferguson,BOWL
Trent Rockets,Rehan Ahmed,BOWL
Trent Rockets,Sam Cook,BOWL
Welsh Fire,Steve Smith,BAT
Welsh Fire,Tom Abell,BAT
Welsh Fire,Tom Kohler-Cadmore,BAT
Welsh Fire,Chris Woakes,ALL-R
Welsh Fire,Luke Wells,ALL-R
Welsh Fire,Paul Walter,ALL-R
Welsh Fire,Saif Zaib,ALL-R
Welsh Fire,Jonny Bairstow,WK
Welsh Fire,Stephen Eskinazi,WK
Welsh Fire,Chris Green,BOWL
Welsh Fire,David Payne,BOWL
Welsh Fire,Josh Hull,BOWL
Welsh Fire,Mason Crane,BOWL
Welsh Fire,Riley Meredith,BOWL