squad,player_name,role
Chennai Super Kings,Andre Siddarth,BAT
Chennai Super Kings,Ayush Mhatre,BAT
Chennai Super Kings,Devon Conway,BAT
Chennai Super Kings,Rahul Tripathi,BAT
Chennai Super Kings,Shaik Rasheed,BAT
Chennai Super Kings,Deepak Hooda,ALL-R
Chennai Super Kings,Dewald Brevis,ALL-R
Chennai Super Kings,Jamie Overton,ALL-R
Chennai Super Kings,Rachin Ravindra,ALL-R
Chennai Super Kings,Ramakrishna Ghosh,ALL-R
Chennai Super Kings,Ravichandran Ashwin,ALL-R
Chennai Super Kings,Ravindra Jadeja,ALL-R
Chennai Super Kings,Sam Curran,ALL-R
Chennai Super Kings,Shivam Dube,ALL-R
Chennai Super Kings,Vijay Shankar,ALL-R
Chennai Super Kings,MS Dhoni,WK
Chennai Super Kings,Urvil Patel,WK
Chennai Super Kings,Anshul Kamboj,BOWL
Chennai Super Kings,Kamlesh Nagarkoti,BOWL
Chennai Super Kings,Khaleel Ahmed,BOWL
Chennai Super Kings,Matheesha Pathirana,BOWL
Chennai Super Kings,Mukesh Choudhary,BOWL
Chennai Super Kings,Nathan Ellis,BOWL
Chennai Super Kings,Noor Ahmad,BOWL
Chennai Super Kings,Shreyas Gopal,BOWL
Sunrisers Hyderabad,Abhinav Manohar,BAT
Sunrisers Hyderabad,Aniket Verma,BAT
Sunrisers Hyderabad,Atharva Taide,BAT
Sunrisers Hyderabad,Sachin Baby,BAT
Sunrisers Hyderabad,Travis Head,BAT
Sunrisers Hyderabad,Abhishek Sharma,ALL-R
Sunrisers Hyderabad,Harsh Dubey,ALL-R
Sunrisers Hyderabad,Kamindu Mendis,ALL-R
Sunrisers Hyderabad,Nitish Kumar Reddy,ALL-R
Sunrisers Hyderabad,Wiaan Mulder,ALL-R
Sunrisers Hyderabad,Heinrich Klaasen,WK
Sunrisers Hyderabad,Ishan Kishan,WK
Sunrisers Hyderabad,Eshan Malinga,BOWL
Sunrisers Hyderabad,Harshal Patel,BOWL
Sunrisers Hyderabad,Jaydev Unadkat,BOWL
Sunrisers Hyderabad,Mohammad Shami,BOWL
Sunrisers Hyderabad,Pat Cummins,BOWL
Sunrisers Hyderabad,Rahul Chahar,BOWL
Sunrisers Hyderabad,Simarjeet Singh,BOWL
Sunrisers Hyderabad,Zeeshan Ansari,BOWL
Mumbai Indians,Bevon Jacobs,BAT
Mumbai Indians,Charith Asalanka,BAT
Mumbai Indians,Rohit Sharma,BAT
Mumbai Indians,Suryakumar Yadav,BAT
Mumbai Indians,Tilak Varma,BAT
Mumbai Indians,Hardik Pandya,ALL-R
Mumbai Indians,Mitchell Santner,ALL-R
Mumbai Indians,Naman Dhir,ALL-R
Mumbai Indians,Raj Angad Bawa,ALL-R
Mumbai Indians,Jonny Bairstow,WK
Mumbai Indians,Robin Minz,WK
Mumbai Indians,Shrijith Krishnan,WK
Mumbai Indians,Arjun Tendulkar,BOWL
Mumbai Indians,Ashwani Kumar,BOWL
Mumbai Indians,Deepak Chahar,BOWL
Mumbai Indians,Jasprit Bumrah,BOWL
Mumbai Indians,Karn Sharma,BOWL
Mumbai Indians,Mujeeb Ur Rahman,BOWL
Mumbai Indians,Raghu Sharma,BOWL
Mumbai Indians,Reece Topley,BOWL
Mumbai Indians,Richard Gleeson,BOWL
Mumbai Indians,Satyanarayana Raju,BOWL
Mumbai Indians,Trent Boult,BOWL
Rajasthan Royals,Shimron Hetmyer,BAT
Rajasthan Royals,Shubham Dubey,BAT
Rajasthan Royals,Vaibhav Sooryavanshi,BAT
Rajasthan Royals,Yashasvi Jaiswal,BAT
Rajasthan Royals,Riyan Parag,ALL-R
Rajasthan Royals,Wanindu Hasaranga,ALL-R
Rajasthan Royals,Yudhvir Singh,ALL-R
Rajasthan Royals,Dhruv Jurel,WK
Rajasthan Royals,Kunal Singh Rathore,WK
Rajasthan Royals,Lhuan-dre Pretorius,WK
Rajasthan Royals,Sanju Samson,WK
Rajasthan Royals,Akash Madhwal,BOWL
Rajasthan Royals,Ashok Sharma,BOWL
Rajasthan Royals,Fazalhaq Farooqi,BOWL
Rajasthan Royals,Jofra Archer,BOWL
Rajasthan Royals,Kumar Kartikeya,BOWL
Rajasthan Royals,Kwena Maphaka,BOWL
Rajasthan Royals,Maheesh Theekshana,BOWL
Rajasthan Royals,Nandre Burger,BOWL
Rajasthan Royals,Tushar Deshpande,BOWL
Delhi Capitals,Ashutosh Sharma,BAT
Delhi Capitals,Faf du Plessis,BAT
Delhi Capitals,Karun Nair,BAT
Delhi Capitals,Sameer Rizvi,BAT
Delhi Capitals,Sediqullah Atal,BAT
Delhi Capitals,Tristan Stubbs,BAT
Delhi Capitals,Ajay Mandal,ALL-R
Delhi Capitals,Axar Patel,ALL-R
Delhi Capitals,Madhav Tiwari,ALL-R
Delhi Capitals,Manvanth Kumar,ALL-R
Delhi Capitals,Tripurana Vijay,ALL-R
Delhi Capitals,Vipraj Nigam,ALL-R
Delhi Capitals,Abishek Porel,WK
Delhi Capitals,Donovan Ferreira,WK
Delhi Capitals,KL Rahul,WK
Delhi Capitals,Darshan Nalkande,BOWL
Delhi Capitals,Dushmantha Chameera,BOWL
Delhi Capitals,Kuldeep Yadav,BOWL
Delhi Capitals,Mohit Sharma,BOWL
Delhi Capitals,Mukesh Kumar,BOWL
Delhi Capitals,Mustafizur Rahman,BOWL
Delhi Capitals,T Natarajan,BOWL
Royal Challengers Bengaluru,Mayank Agarwal,BAT
Royal Challengers Bengaluru,Rajat Patidar,BAT
Royal Challengers Bengaluru,Swastik Chikara,BAT
Royal Challengers Bengaluru,Tim David,BAT
Royal Challengers Bengaluru,Virat Kohli,BAT
Royal Challengers Bengaluru,Krunal Pandya,ALL-R
Royal Challengers Bengaluru,Liam Livingstone,ALL-R
Royal Challengers Bengaluru,Manoj Bhandage,ALL-R
Royal Challengers Bengaluru,Mohit Rathee,ALL-R
Royal Challengers Bengaluru,Romario Shepherd,ALL-R
Royal Challengers Bengaluru,Swapnil Singh,ALL-R
Royal Challengers Bengaluru,Jitesh Sharma,WK
Royal Challengers Bengaluru,Phil Salt,WK
Royal Challengers Bengaluru,Tim Seifert,WK
Royal Challengers Bengaluru,Abhinandan Singh,BOWL
Royal Challengers Bengaluru,Bhuvneshwar Kumar,BOWL
Royal Challengers Bengaluru,Blessing Muzarabani,BOWL
Royal Challengers Bengaluru,Josh Hazlewood,BOWL
Royal Challengers Bengaluru,Nuwan Thushara,BOWL
Royal Challengers Bengaluru,Rasikh Salam,BOWL
Royal Challengers Bengaluru,Suyash Sharma,BOWL
Royal Challengers Bengaluru,Yash Dayal,BOWL
Kolkata Knight Riders,Ajinkya Rahane,BAT
Kolkata Knight Riders,Angkrish Raghuvanshi,BAT
Kolkata Knight Riders,Manish Pandey,BAT
Kolkata Knight Riders,Ramandeep Singh,BAT
Kolkata Knight Riders,Rinku Singh,BAT
Kolkata Knight Riders,Andre Russell,ALL-R
Kolkata Knight Riders,Anukul Roy,ALL-R
Kolkata Knight Riders,Moeen Ali,ALL-R
Kolkata Knight Riders,Sunil Narine,ALL-R
Kolkata Knight Riders,Venkatesh Iyer,ALL-R
Kolkata Knight Riders,Luvnith Sisodia,WK
Kolkata Knight Riders,Quinton de Kock,WK
Kolkata Knight Riders,Rahmanullah Gurbaz,WK
Kolkata Knight Riders,Anrich Nortje,BOWL
Kolkata Knight Riders,Chetan Sakariya,BOWL
Kolkata Knight Riders,Harshit Rana,BOWL
Kolkata Knight Riders,Mayank Markande,BOWL
Kolkata Knight Riders,Shivam Shukla,BOWL
Kolkata Knight Riders,Spencer Johnson,BOWL
Kolkata Knight Riders,Vaibhav Arora,BOWL
Kolkata Knight Riders,Varun Chakaravarthy,BOWL
Punjab Kings,Harnoor Singh,BAT
Punjab Kings,Nehal Wadhera,BAT
Punjab Kings,Priyansh Arya,BAT
Punjab Kings,Pyla Avinash,BAT
Punjab Kings,Shashank Singh,BAT
Punjab Kings,Shreyas Iyer,BAT
Punjab Kings,Aaron Hardie,ALL-R
Punjab Kings,Azmatullah Omarzai,ALL-R
Punjab Kings,Marcus Stoinis,ALL-R
Punjab Kings,Mitchell Owen,ALL-R
Punjab Kings,Musheer Khan,ALL-R
Punjab Kings,Suryansh Shedge,ALL-R
Punjab Kings,Josh Inglis,WK
Punjab Kings,Prabhsimran Singh,WK
Punjab Kings,Vishnu Vinod,WK
Punjab Kings,Arshdeep Singh,BOWL
Punjab Kings,Harpreet Brar,BOWL
Punjab Kings,Kuldeep Sen,BOWL
Punjab Kings,Kyle Jamieson,BOWL
Punjab Kings,Praveen Dubey,BOWL
Punjab Kings,Vyshak Vijaykumar,BOWL
Punjab Kings,Xavier Bartlett,BOWL
Punjab Kings,Yash Thakur,BOWL
Punjab Kings,Yuzvendra Chahal,BOWL
Lucknow Super Giants,Abdul Samad,BAT
Lucknow Super Giants,Ayush Badoni,BAT
Lucknow Super Giants,David Miller,BAT
Lucknow Super Giants,Himmat Singh,BAT
Lucknow Super Giants,Matthew Breetzke,BAT
Lucknow Super Giants,Mitchell Marsh,BAT
Lucknow Super Giants,Arshin Kulkarni,ALL-R
Lucknow Super Giants,Rajvardhan Hangargekar,ALL-R
Lucknow Super Giants,Shahbaz Ahamad,ALL-R
Lucknow Super Giants,Shardul Thakur,ALL-R
Lucknow Super Giants,Yuvraj Chaudhary,ALL-R
Lucknow Super Giants,Aryan Juyal,WK
Lucknow Super Giants,Nicholas Pooran,WK
Lucknow Super Giants,Rishabh Pant,WK
Lucknow Super Giants,Akash Deep,BOWL
Lucknow Super Giants,Akash Singh,BOWL
Lucknow Super Giants,Avesh Khan,BOWL
Lucknow Super Giants,Digvesh Singh,BOWL
Lucknow Super Giants,M Siddharth,BOWL
Lucknow Super Giants,Prince Yadav,BOWL
Lucknow Super Giants,Ravi Bishnoi,BOWL
Lucknow Super Giants,Shamar Joseph,BOWL
Lucknow Super Giants,Will O'Rourke,BOWL
Gujarat Titans,Sai Sudharsan,BAT
Gujarat Titans,Shahrukh Khan,BAT
Gujarat Titans,Sherfane Rutherford,BAT
Gujarat Titans,Shubman Gill,BAT
Gujarat Titans,Arshad Khan,ALL-R
Gujarat Titans,Dasun Shanaka,ALL-R
Gujarat Titans,Glenn Phillips,ALL-R
Gujarat Titans,Karim Janat,ALL-R
Gujarat Titans,Mahipal Lomror,ALL-R
Gujarat Titans,Nishant Sindhu,ALL-R
Gujarat Titans,Rahul Tewatia,ALL-R
Gujarat Titans,Rashid Khan,ALL-R
Gujarat Titans,Washington Sundar,ALL-R
Gujarat Titans,Anuj Rawat,WK
Gujarat Titans,Jos Buttler,WK
Gujarat Titans,Kumar Kushagra,WK
Gujarat Titans,Kusal Mendis,WK
Gujarat Titans,Gerald Coetzee,BOWL
Gujarat Titans,Gurnoor Brar,BOWL
Gujarat Titans,Ishant Sharma,BOWL
Gujarat Titans,Jayant Yadav,BOWL
Gujarat Titans,Kagiso Rabada,BOWL
Gujarat Titans,Kulwant Khejroliya,BOWL
Gujarat Titans,Manav Suthar,BOWL
Gujarat Titans,Mohammed Siraj,BOWL
Gujarat Titans,Prasidh Krishna,BOWL
Gujarat Titans,Sai Kishore,BOWL